Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
Q9UMY1,Nucleolar protein 7 OS=Homo sapiens GN=NOL7 PE=1 SV=2 - [NOL7_HUMAN],32.30,1,11,11,44,0.540,3;17,4.7,0.549,3;17,11.4,0.565,3;17,8.6,69.72 ,6.61,6,6,23.11 ,6.61,6,6,60.14 ,29.18,10,18,301.23 ,24.12,7,14,257,29.4,9.67
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3 - [QCR2_HUMAN]",74.39,1,26,26,234,0.539,16;66,26.9,0.485,17;66,15.3,0.480,17;64,24.9,622.04 ,59.82,29,36,161.51 ,59.82,31,39,191.62 ,69.54,30,74,1008.05 ,69.54,27,85,453,48.4,8.63
Q9HAJ7,Histone deacetylase complex subunit SAP30L OS=Homo sapiens GN=SAP30L PE=1 SV=1 - [SP30L_HUMAN],4.92,1,1,1,2,0.539,-;1,,0.729,-;1,,0.596,-;1,,,,,,,,,,0.00 ,4.92,1,1,39.90 ,4.92,1,1,183,20.9,9.36
Q8N531,F-box/LRR-repeat protein 6 OS=Homo sapiens GN=FBXL6 PE=2 SV=1 - [FBXL6_HUMAN],14.29,1,7,7,13,0.538,-;7,,0.455,-;7,,0.451,-;7,,,,,,3.70 ,1.67,1,1,18.32 ,14.29,7,7,102.06 ,10.95,5,5,539,58.6,9.29
Q96DV4,"39S ribosomal protein L38, mitochondrial OS=Homo sapiens GN=MRPL38 PE=1 SV=2 - [RM38_HUMAN]",40.79,1,15,15,54,0.538,5;20,22.3,0.557,5;20,23.1,0.523,5;20,18.5,101.63 ,13.42,8,8,24.92 ,11.84,8,8,56.27 ,35.53,14,19,268.96 ,32.89,12,19,380,44.6,7.53
Q14525,"Keratin, type I cuticular Ha3-II OS=Homo sapiens GN=KRT33B PE=2 SV=3 - [KT33B_HUMAN]",26.24,6,1,8,52,0.538,-;1,,0.835,-;1,,0.931,-;1,,114.38 ,7.67,3,6,31.11 ,7.67,5,11,35.68 ,24.01,7,19,209.33 ,16.58,5,16,404,46.2,4.84
Q9BU76,Multiple myeloma tumor-associated protein 2 OS=Homo sapiens GN=MMTAG2 PE=1 SV=1 - [MMTA2_HUMAN],12.93,1,3,3,10,0.537,2;2,0.3,0.468,2;2,0.9,0.446,2;2,9.0,60.43 ,7.60,2,2,9.23 ,7.60,4,4,6.25 ,8.37,2,2,78.55 ,8.37,2,2,263,29.4,10.02
O15381,Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL PE=1 SV=1 - [NVL_HUMAN],38.43,1,26,26,71,0.536,-;35,,0.559,-;35,,0.548,1;35,0.2,28.99 ,4.56,2,2,8.58 ,4.56,2,2,111.79 ,37.50,28,37,437.39 ,36.80,23,30,856,95.0,6.48
Q96K12,Fatty acyl-CoA reductase 2 OS=Homo sapiens GN=FAR2 PE=2 SV=1 - [FACR2_HUMAN],6.41,1,2,2,4,0.536,-;2,,0.735,-;2,,0.690,-;2,,,,,,,,,,2.34 ,6.41,2,2,43.17 ,6.41,2,2,515,59.4,9.38
Q01201,Transcription factor RelB OS=Homo sapiens GN=RELB PE=1 SV=2 - [RELB_HUMAN],7.25,1,2,2,4,0.536,-;2,,0.563,-;2,,0.507,-;2,,,,,,,,,,5.59 ,7.25,2,2,60.44 ,7.25,2,2,579,62.1,6.24
A1L3X0,Elongation of very long chain fatty acids protein 7 OS=Homo sapiens GN=ELOVL7 PE=1 SV=1 - [ELOV7_HUMAN],6.41,1,2,2,4,0.536,-;2,,0.573,-;2,,0.473,-;2,,,,,,,,,,6.07 ,6.41,2,2,60.16 ,6.41,2,2,281,33.3,9.26
Q9Y5I7,Claudin-16 OS=Homo sapiens GN=CLDN16 PE=1 SV=1 - [CLD16_HUMAN],4.92,1,1,1,2,0.536,-;1,,0.525,-;1,,0.461,-;1,,,,,,,,,,3.19 ,4.92,1,1,46.16 ,4.92,1,1,305,33.8,7.93
P03923,NADH-ubiquinone oxidoreductase chain 6 OS=Homo sapiens GN=MT-ND6 PE=1 SV=2 - [NU6M_HUMAN],8.05,1,1,1,2,0.535,-;1,,0.650,-;1,,0.743,-;1,,,,,,,,,,2.91 ,8.05,1,1,0.00 ,8.05,1,1,174,18.6,4.22
Q6ZN44,Netrin receptor UNC5A OS=Homo sapiens GN=UNC5A PE=2 SV=3 - [UNC5A_HUMAN],11.88,1,5,5,7,0.534,-;2,,0.549,-;2,,0.379,-;2,,,,,,,,,,12.89 ,11.88,5,5,69.63 ,4.39,2,2,842,92.9,6.79
P51858,Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=1 SV=1 - [HDGF_HUMAN],72.08,1,22,23,206,0.534,24;68,5.3,0.542,24;68,5.8,0.515,24;68,3.6,489.40 ,38.75,21,38,181.41 ,44.58,26,46,202.49 ,65.00,31,70,695.47 ,52.50,17,52,240,26.8,4.73
Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3 - [NDUAD_HUMAN],59.72,1,9,9,38,0.534,3;15,29.3,0.519,4;15,26.4,0.471,4;15,36.8,105.04 ,31.94,4,4,18.66 ,31.94,7,7,40.52 ,59.72,10,15,167.69 ,46.53,7,12,144,16.7,8.43
Q9H098,Protein FAM107B OS=Homo sapiens GN=FAM107B PE=1 SV=1 - [F107B_HUMAN],29.77,1,7,7,16,0.534,-;9,,0.669,-;9,,0.578,-;9,,,,,,,,,,20.31 ,29.77,8,11,59.30 ,19.85,4,5,131,15.5,8.29
P37108,Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2 - [SRP14_HUMAN],60.29,1,8,8,54,0.533,5;19,7.9,0.546,5;19,2.8,0.530,6;19,5.5,172.32 ,25.74,5,7,46.20 ,25.74,7,11,57.00 ,60.29,10,17,297.61 ,60.29,10,19,136,14.6,10.04
Q9UPN4,5-azacytidine-induced protein 1 OS=Homo sapiens GN=AZI1 PE=1 SV=3 - [AZI1_HUMAN],21.24,1,21,21,58,0.533,-;26,,0.549,-;26,,0.531,-;26,,21.81 ,2.12,1,1,4.33 ,2.12,1,1,75.26 ,21.24,23,29,358.20 ,20.04,20,27,1083,122.1,8.69
O43301,Heat shock 70 kDa protein 12A OS=Homo sapiens GN=HSPA12A PE=1 SV=2 - [HS12A_HUMAN],40.59,2,19,19,44,0.533,2;21,9.2,0.475,2;21,46.3,0.570,2;21,8.9,59.81 ,3.41,2,2,8.96 ,3.41,2,2,62.84 ,34.81,17,19,473.45 ,40.59,19,21,675,74.9,6.77
Q9BYH8,NF-kappa-B inhibitor zeta OS=Homo sapiens GN=NFKBIZ PE=1 SV=1 - [IKBZ_HUMAN],4.60,1,2,3,5,0.532,-;2,,0.430,-;2,,0.436,-;2,,,,,,,,,,6.29 ,4.60,3,3,49.90 ,3.48,2,2,718,78.0,6.62
P29401,Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3 - [TKT_HUMAN],85.39,1,51,52,1122,0.532,43;383,19.8,0.547,43;380,17.5,0.490,42;381,26.5,2011.35 ,49.28,40,140,588.18 ,49.28,40,154,1013.93 ,82.99,80,441,5619.92 ,79.94,59,387,623,67.8,7.66
O43586,Proline-serine-threonine phosphatase-interacting protein 1 OS=Homo sapiens GN=PSTPIP1 PE=1 SV=1 - [PPIP1_HUMAN],1.68,1,1,1,1,0.532,-;1,,0.460,-;1,,0.441,-;1,,,,,,,,,,2.44 ,1.68,1,1,,,,,416,47.6,5.45
Q8WWV3,"Reticulon-4-interacting protein 1, mitochondrial OS=Homo sapiens GN=RTN4IP1 PE=1 SV=2 - [RT4I1_HUMAN]",23.23,1,7,7,24,0.531,1;10,19.9,0.667,1;10,6.7,0.653,1;10,1.2,45.95 ,2.53,1,1,3.86 ,2.53,1,1,36.23 ,23.23,7,11,139.02 ,23.23,7,11,396,43.6,9.11
Q7Z7F7,"39S ribosomal protein L55, mitochondrial OS=Homo sapiens GN=MRPL55 PE=1 SV=1 - [RM55_HUMAN]",30.47,1,3,3,10,0.531,-;5,,0.543,-;5,,0.547,-;5,,,,,,,,,,13.69 ,30.47,3,5,106.38 ,30.47,3,5,128,15.1,11.15
Q9NVF7,F-box only protein 28 OS=Homo sapiens GN=FBXO28 PE=1 SV=1 - [FBX28_HUMAN],24.46,1,8,10,20,0.530,1;9,28.3,0.522,1;9,15.5,0.498,1;9,27.1,0.00 ,1.63,1,1,,,,,24.69 ,19.57,7,9,198.33 ,20.11,8,10,368,41.1,9.55
P33121,Long-chain-fatty-acid--CoA ligase 1 OS=Homo sapiens GN=ACSL1 PE=1 SV=1 - [ACSL1_HUMAN],50.00,2,28,30,130,0.530,11;40,12.4,0.513,11;40,26.7,0.510,11;40,19.2,192.25 ,20.77,20,21,77.68 ,19.77,21,22,131.66 ,46.56,28,49,613.68 ,38.11,22,38,698,77.9,7.15
Q9NRZ9,Lymphoid-specific helicase OS=Homo sapiens GN=HELLS PE=1 SV=1 - [HELLS_HUMAN],43.44,1,34,35,150,0.529,15;50,11.1,0.545,15;50,11.5,0.544,15;50,15.0,325.11 ,20.17,22,23,87.10 ,21.00,23,24,135.54 ,39.26,33,53,664.16 ,38.31,29,50,838,97.0,7.93
Q9Y3B7,"39S ribosomal protein L11, mitochondrial OS=Homo sapiens GN=MRPL11 PE=1 SV=1 - [RM11_HUMAN]",47.40,1,9,9,24,0.528,3;8,1.7,0.609,3;8,6.4,0.542,3;8,6.9,30.92 ,11.46,5,5,10.84 ,7.81,4,4,20.23 ,40.10,7,7,147.03 ,40.10,7,8,192,20.7,9.91
Q99650,Oncostatin-M-specific receptor subunit beta OS=Homo sapiens GN=OSMR PE=1 SV=1 - [OSMR_HUMAN],23.29,1,13,13,36,0.528,-;17,,0.587,-;17,,0.562,-;17,,,,,,,,,,50.16 ,18.39,11,15,199.10 ,22.37,12,21,979,110.4,5.82
Q9UGY1,Nucleolar protein 12 OS=Homo sapiens GN=NOL12 PE=1 SV=1 - [NOL12_HUMAN],35.68,1,4,5,18,0.527,-;7,,0.592,-;7,,0.579,-;7,,29.42 ,15.49,2,2,6.70 ,15.49,2,2,22.17 ,32.86,5,9,44.04 ,20.19,3,5,213,24.6,10.23
Q9NRE2,Teashirt homolog 2 OS=Homo sapiens GN=TSHZ2 PE=1 SV=3 - [TSH2_HUMAN],1.06,1,1,1,2,0.526,-;1,,0.647,-;1,,0.504,-;1,,,,,,,,,,0.00 ,1.06,2,2,,,,,1034,114.9,7.83
Q7Z2K8,G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens GN=GPRIN1 PE=2 SV=2 - [GRIN1_HUMAN],44.64,1,33,33,87,0.525,4;41,14.0,0.554,4;41,9.2,0.534,4;41,13.0,147.73 ,5.26,4,4,21.29 ,5.26,5,5,94.85 ,41.17,33,39,533.81 ,41.37,30,39,1008,102.3,8.06
Q9BYD2,"39S ribosomal protein L9, mitochondrial OS=Homo sapiens GN=MRPL9 PE=1 SV=2 - [RM09_HUMAN]",45.69,1,11,13,46,0.525,5;13,8.7,0.522,4;13,4.5,0.538,4;13,0.0,136.00 ,14.98,6,7,27.44 ,14.98,8,9,44.03 ,40.07,12,15,305.56 ,40.07,12,15,267,30.2,10.08
O75121,Microfibrillar-associated protein 3-like OS=Homo sapiens GN=MFAP3L PE=2 SV=3 - [MFA3L_HUMAN],5.38,1,1,2,3,0.524,-;1,,0.528,-;1,,0.537,-;1,,,,,,,,,,4.75 ,3.67,1,1,31.72 ,5.38,2,2,409,45.4,5.22
Q6ZN18,Zinc finger protein AEBP2 OS=Homo sapiens GN=AEBP2 PE=1 SV=2 - [AEBP2_HUMAN],11.61,1,4,4,9,0.522,-;5,,0.703,-;5,,0.598,-;5,,,,,,,,,,8.82 ,8.90,3,4,115.11 ,11.61,4,5,517,54.4,5.21
Q08J23,tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2 - [NSUN2_HUMAN],70.93,1,51,51,419,0.521,35;146,20.5,0.530,34;147,22.5,0.506,36;147,21.5,1203.42 ,41.20,42,60,275.78 ,40.42,49,72,400.42 ,69.36,66,150,1734.95 ,66.36,55,137,767,86.4,6.77
Q14119,Vascular endothelial zinc finger 1 OS=Homo sapiens GN=VEZF1 PE=1 SV=2 - [VEZF1_HUMAN],12.09,1,3,4,16,0.521,-;3,,0.755,-;3,,0.518,-;3,,,,,,,,,,12.14 ,12.09,5,14,89.22 ,6.72,2,2,521,56.9,9.52
P40261,Nicotinamide N-methyltransferase OS=Homo sapiens GN=NNMT PE=1 SV=1 - [NNMT_HUMAN],61.74,1,13,13,208,0.520,14;72,37.7,0.585,14;72,21.7,0.478,15;72,36.0,589.34 ,28.03,12,26,121.94 ,28.79,13,30,215.80 ,55.68,15,81,1224.52 ,55.68,14,71,264,29.6,5.74
Q10471,Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens GN=GALNT2 PE=1 SV=1 - [GALT2_HUMAN],56.74,2,34,35,355,0.520,16;131,37.7,0.506,16;132,37.2,0.498,16;131,41.7,506.50 ,36.43,30,35,160.96 ,36.43,35,41,341.11 ,55.34,47,144,1846.69 ,54.82,37,135,571,64.7,8.35
P00156,Cytochrome b OS=Homo sapiens GN=MT-CYB PE=1 SV=2 - [CYB_HUMAN],2.37,1,1,1,2,0.520,1;-,,0.446,1;-,,0.389,1;-,,35.63 ,2.37,1,1,3.35 ,2.37,1,1,,,,,,,,,380,42.7,8.05
Q9UIQ6,Leucyl-cystinyl aminopeptidase OS=Homo sapiens GN=LNPEP PE=1 SV=3 - [LCAP_HUMAN],39.71,1,37,37,210,0.519,19;67,16.8,0.531,19;67,24.0,0.524,20;67,20.4,602.75 ,21.56,27,32,142.93 ,21.56,31,37,182.87 ,36.39,41,73,1046.12 ,37.95,38,68,1025,117.3,5.73
O43678,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens GN=NDUFA2 PE=1 SV=3 - [NDUA2_HUMAN],50.51,1,6,6,37,0.519,3;10,27.3,0.558,3;10,23.4,0.535,3;10,22.4,133.56 ,38.38,6,6,23.21 ,38.38,6,6,26.83 ,50.51,7,11,154.10 ,50.51,7,14,99,10.9,9.57
Q96BY6,Dedicator of cytokinesis protein 10 OS=Homo sapiens GN=DOCK10 PE=1 SV=3 - [DOC10_HUMAN],10.43,1,17,17,38,0.519,-;17,,0.549,-;17,,0.588,-;17,,27.66 ,0.73,1,1,2.02 ,0.73,1,1,49.39 ,10.43,17,20,279.88 ,9.65,15,16,2186,249.4,7.14
O15228,Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens GN=GNPAT PE=1 SV=1 - [GNPAT_HUMAN],32.21,1,19,19,54,0.518,2;23,0.6,0.521,2;23,13.8,0.528,2;23,6.0,89.55 ,6.91,4,4,20.22 ,6.91,5,5,63.45 ,32.21,19,23,304.39 ,30.59,18,22,680,77.1,6.57
Q99523,Sortilin OS=Homo sapiens GN=SORT1 PE=1 SV=3 - [SORT_HUMAN],22.38,1,15,15,88,0.518,13;26,9.7,0.498,13;26,8.9,0.460,13;26,9.5,320.19 ,16.73,16,18,81.83 ,16.00,18,21,70.49 ,19.61,12,24,358.50 ,18.41,11,25,831,92.0,5.74
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1 - [NDUS3_HUMAN]",53.03,1,14,14,73,0.518,7;27,22.4,0.562,8;27,18.3,0.533,7;27,15.6,181.06 ,26.52,8,10,32.69 ,25.38,9,11,84.91 ,50.76,18,28,440.96 ,46.59,14,24,264,30.2,7.50
Q02817,Mucin-2 OS=Homo sapiens GN=MUC2 PE=1 SV=2 - [MUC2_HUMAN],0.14,1,1,1,1,0.518,-;1,,0.618,-;1,,0.593,-;1,,,,,,,,,,2.38 ,0.14,1,1,,,,,5179,540.0,5.80
Q99999,Galactosylceramide sulfotransferase OS=Homo sapiens GN=GAL3ST1 PE=1 SV=1 - [G3ST1_HUMAN],35.46,1,10,10,29,0.517,1;11,55.7,0.413,1;11,69.1,0.500,1;11,61.6,75.87 ,9.22,2,2,10.21 ,9.22,4,4,38.59 ,32.86,9,12,166.26 ,28.84,8,11,423,48.7,8.62
P17948,Vascular endothelial growth factor receptor 1 OS=Homo sapiens GN=FLT1 PE=1 SV=2 - [VGFR1_HUMAN],4.04,8,3,4,7,0.517,-;3,,0.480,-;3,,0.397,-;3,,,,,,,,,,9.76 ,3.44,3,3,71.33 ,4.04,4,4,1338,150.7,8.38
P52799,Ephrin-B2 OS=Homo sapiens GN=EFNB2 PE=1 SV=1 - [EFNB2_HUMAN],7.21,1,2,2,4,0.517,-;2,,0.631,-;2,,0.539,-;2,,,,,,,,,,6.99 ,7.21,2,2,66.26 ,7.21,2,2,333,36.9,8.85
P09001,"39S ribosomal protein L3, mitochondrial OS=Homo sapiens GN=MRPL3 PE=1 SV=1 - [RM03_HUMAN]",41.67,1,10,10,33,0.516,3;13,16.7,0.554,3;13,7.3,0.453,3;13,69.3,43.41 ,9.20,2,3,23.64 ,19.54,5,6,32.66 ,31.32,11,13,154.94 ,29.60,8,11,348,38.6,9.48
Q86WC4,Osteopetrosis-associated transmembrane protein 1 OS=Homo sapiens GN=OSTM1 PE=1 SV=1 - [OSTM1_HUMAN],3.29,1,1,1,2,0.515,-;1,,0.610,-;1,,0.622,-;1,,,,,,,,,,2.70 ,3.29,1,1,72.40 ,3.29,1,1,334,37.2,6.01
P00450,Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1 - [CERU_HUMAN],10.52,1,6,6,14,0.515,-;7,,0.548,-;7,,0.621,-;7,,36.26 ,2.44,1,1,4.16 ,2.44,1,1,8.05 ,10.52,7,8,18.73 ,5.92,4,4,1065,122.1,5.72
Q9NRK6,"ATP-binding cassette sub-family B member 10, mitochondrial OS=Homo sapiens GN=ABCB10 PE=1 SV=2 - [ABCBA_HUMAN]",35.77,1,20,20,44,0.515,1;21,18.5,0.470,1;22,21.6,0.455,1;19,25.8,53.96 ,1.49,1,1,6.08 ,1.49,2,2,46.52 ,34.01,19,20,447.59 ,35.37,19,21,738,79.1,9.85
Q12913,Receptor-type tyrosine-protein phosphatase eta OS=Homo sapiens GN=PTPRJ PE=1 SV=3 - [PTPRJ_HUMAN],34.26,3,35,35,165,0.514,18;50,18.6,0.511,17;49,14.9,0.472,18;50,17.2,492.37 ,13.84,26,30,128.34 ,13.84,28,33,136.57 ,32.16,35,51,817.16 ,32.69,35,51,1337,145.9,5.58
Q92959,Solute carrier organic anion transporter family member 2A1 OS=Homo sapiens GN=SLCO2A1 PE=1 SV=2 - [SO2A1_HUMAN],3.42,1,2,2,4,0.513,-;2,,0.433,-;2,,0.393,-;2,,,,,,,,,,5.22 ,3.42,2,2,92.85 ,3.42,2,2,643,70.0,8.84
Q6P179,Endoplasmic reticulum aminopeptidase 2 OS=Homo sapiens GN=ERAP2 PE=1 SV=2 - [ERAP2_HUMAN],40.21,1,30,30,116,0.513,5;51,8.8,0.500,6;51,11.3,0.490,6;51,23.1,216.32 ,9.48,6,7,42.72 ,10.21,11,12,125.22 ,36.77,31,48,636.89 ,38.96,29,49,960,110.4,6.71
Q9ULY5,C-type lectin domain family 4 member E OS=Homo sapiens GN=CLEC4E PE=1 SV=1 - [CLC4E_HUMAN],16.89,1,2,2,3,0.511,-;2,,0.524,-;2,,0.431,-;2,,,,,,,,,,3.76 ,16.89,2,2,41.03 ,10.50,1,1,219,25.1,5.20
O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens GN=NDUFB4 PE=1 SV=3 - [NDUB4_HUMAN],31.01,1,3,3,12,0.511,1;4,73.7,0.440,1;4,17.9,0.456,1;4,35.6,100.48 ,13.95,1,2,12.77 ,13.95,2,3,8.83 ,21.71,2,3,70.23 ,31.01,3,4,129,15.2,9.85
P07099,Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1 - [HYEP_HUMAN],53.85,1,20,20,118,0.510,12;38,5.4,0.477,10;39,15.4,0.492,11;39,15.7,389.00 ,25.49,15,19,93.87 ,26.15,17,22,130.55 ,50.55,20,40,483.94 ,50.55,18,37,455,52.9,7.25
Q5T3I0,G patch domain-containing protein 4 OS=Homo sapiens GN=GPATCH4 PE=1 SV=2 - [GPTC4_HUMAN],42.15,1,18,18,68,0.510,8;21,9.7,0.555,8;21,27.4,0.569,8;21,11.8,250.48 ,16.82,11,12,46.29 ,16.82,12,13,73.83 ,35.43,18,25,280.29 ,31.61,12,18,446,50.4,9.63
Q9BV29,Uncharacterized protein C15orf57 OS=Homo sapiens GN=C15orf57 PE=1 SV=2 - [CO057_HUMAN],54.59,1,5,5,14,0.509,1;5,23.6,0.834,1;5,20.9,0.560,1;5,30.0,61.57 ,15.68,1,1,4.94 ,15.68,1,1,17.37 ,54.59,5,6,86.20 ,54.59,5,6,185,20.6,4.53
Q8N983,"39S ribosomal protein L43, mitochondrial OS=Homo sapiens GN=MRPL43 PE=1 SV=1 - [RM43_HUMAN]",27.44,1,6,6,26,0.509,3;8,9.9,0.465,3;8,2.1,0.495,3;8,5.6,128.08 ,13.49,6,6,22.45 ,13.49,6,6,17.08 ,27.44,6,6,155.87 ,27.44,6,8,215,23.4,8.65
Q15928,Zinc finger protein 141 OS=Homo sapiens GN=ZNF141 PE=1 SV=1 - [ZN141_HUMAN],11.60,39,1,6,21,0.509,-;2,,0.613,-;2,,0.663,-;2,,47.46 ,2.95,3,4,9.26 ,1.69,2,3,13.50 ,10.34,8,11,41.74 ,4.22,2,3,474,55.2,9.31
Q99608,Necdin OS=Homo sapiens GN=NDN PE=2 SV=1 - [NECD_HUMAN],7.17,1,1,1,2,0.509,-;1,,0.204,-;1,,0.572,-;1,,,,,,,,,,2.62 ,7.17,1,1,42.31 ,7.17,1,1,321,36.1,8.78
P18827,Syndecan-1 OS=Homo sapiens GN=SDC1 PE=1 SV=3 - [SDC1_HUMAN],16.13,1,4,4,16,0.508,-;7,,0.765,-;7,,0.742,-;7,,,,,,6.50 ,3.87,2,3,20.78 ,16.13,4,7,92.35 ,10.65,3,6,310,32.4,4.63
Q9UDY2,Tight junction protein ZO-2 OS=Homo sapiens GN=TJP2 PE=1 SV=2 - [ZO2_HUMAN],49.16,1,48,51,310,0.508,26;97,12.6,0.566,26;97,11.1,0.512,26;96,13.1,772.34 ,28.49,47,54,211.03 ,28.57,50,57,272.70 ,44.45,53,102,1514.13 ,44.71,47,97,1190,133.9,7.40
Q13342,Nuclear body protein SP140 OS=Homo sapiens GN=SP140 PE=1 SV=2 - [SP140_HUMAN],13.38,1,4,12,25,0.508,-;5,,0.548,-;5,,0.558,-;5,,,,,,,,,,34.37 ,13.38,13,16,43.39 ,11.65,9,9,867,98.2,5.27
Q86W54,Spermatogenesis-associated protein 24 OS=Homo sapiens GN=SPATA24 PE=2 SV=2 - [SPA24_HUMAN],7.80,1,1,2,3,0.507,-;1,,0.513,-;1,,0.510,-;1,,,,,,,,,,3.04 ,4.88,1,1,31.92 ,7.80,2,2,205,23.6,7.99
Q9BYC8,"39S ribosomal protein L32, mitochondrial OS=Homo sapiens GN=MRPL32 PE=1 SV=1 - [RM32_HUMAN]",27.13,2,6,6,15,0.507,2;6,13.4,0.529,2;6,15.1,0.464,2;6,10.0,0.00 ,6.91,2,2,5.76 ,3.72,2,2,21.88 ,20.21,4,6,135.04 ,20.21,4,5,188,21.4,9.73
Q9H9J2,"39S ribosomal protein L44, mitochondrial OS=Homo sapiens GN=MRPL44 PE=1 SV=1 - [RM44_HUMAN]",49.70,1,11,11,56,0.506,3;21,17.9,0.587,3;21,4.1,0.536,2;21,15.5,108.99 ,20.78,3,4,33.03 ,22.89,6,8,61.11 ,49.70,11,22,577.26 ,49.70,11,22,332,37.5,8.40
P14854,Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2 - [CX6B1_HUMAN],75.58,1,7,7,57,0.506,6;20,36.8,0.480,7;20,33.1,0.491,6;20,37.8,134.89 ,75.58,11,11,38.43 ,67.44,10,10,48.05 ,56.98,5,17,173.20 ,58.14,5,19,86,10.2,7.05
Q8N5I9,Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=2 - [CL045_HUMAN],38.92,1,6,6,13,0.506,-;6,,0.568,-;6,,0.582,-;6,,,,,,,,,,19.43 ,38.92,6,7,122.91 ,38.92,6,6,185,20.1,5.22
Q15813,Tubulin-specific chaperone E OS=Homo sapiens GN=TBCE PE=1 SV=1 - [TBCE_HUMAN],65.09,1,27,28,96,0.506,7;33,6.9,0.533,7;33,28.4,0.472,7;33,26.2,193.56 ,19.73,15,15,51.89 ,19.73,15,15,83.31 ,60.72,29,37,489.76 ,56.17,22,29,527,59.3,6.76
P09917,Arachidonate 5-lipoxygenase OS=Homo sapiens GN=ALOX5 PE=1 SV=2 - [LOX5_HUMAN],1.19,1,1,1,1,0.506,-;1,,0.562,-;1,,0.593,-;1,,,,,,,,,,2.27 ,1.19,1,1,,,,,674,77.9,5.77
P18858,DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1 - [DNLI1_HUMAN],51.80,1,39,39,119,0.506,8;47,20.0,0.588,8;47,9.7,0.527,8;47,21.5,302.82 ,18.93,11,12,72.72 ,21.00,17,18,137.03 ,48.97,39,45,692.55 ,47.55,37,44,919,101.7,5.62
Q9BSD7,Cancer-related nucleoside-triphosphatase OS=Homo sapiens GN=NTPCR PE=1 SV=1 - [NTPCR_HUMAN],57.37,1,8,9,28,0.505,1;12,13.6,0.489,1;12,21.2,0.503,1;12,30.8,71.33 ,11.05,2,2,7.70 ,7.89,2,2,37.38 ,54.21,10,12,206.94 ,54.21,10,12,190,20.7,9.54
P30519,Heme oxygenase 2 OS=Homo sapiens GN=HMOX2 PE=1 SV=2 - [HMOX2_HUMAN],63.61,1,19,19,173,0.505,13;63,33.5,0.492,12;63,32.9,0.472,12;63,37.0,564.66 ,52.53,20,25,108.88 ,52.53,23,28,175.16 ,63.61,28,60,742.38 ,63.61,22,60,316,36.0,5.41
O15318,DNA-directed RNA polymerase III subunit RPC7 OS=Homo sapiens GN=POLR3G PE=1 SV=2 - [RPC7_HUMAN],34.08,1,6,6,10,0.505,-;3,,0.426,-;3,,0.455,-;3,,,,,,,,,,15.07 ,34.08,6,7,59.37 ,10.31,2,3,223,25.9,4.63
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1 - [COX41_HUMAN]",48.52,1,10,10,94,0.504,8;36,5.5,0.505,8;36,11.4,0.499,8;36,18.8,184.27 ,20.71,7,11,45.86 ,26.04,9,14,96.06 ,43.20,11,35,389.73 ,48.52,11,34,169,19.6,9.51
